,ID,Fwy,Dir,District,County,City,State_PM,Abs_PM,Latitude,Longitude,Length,Type,Lanes,Name,User_ID_1,User_ID_2,User_ID_3,User_ID_4
0,715898,5,S,7,37,40032.0,.71,117.28,33.880183,-118.02178700000002,0.43,ML,3,PHOEBE,2029,,,
1,715900,5,S,7,37,40032.0,1.06,117.63,33.882892,-118.026822,,OR,1,VALLEY VIEW,3255,,,
2,715901,5,N,7,37,40032.0,1.11,117.743,33.8834,-118.027451,,OR,1,VALLEY VIEW,3268,,,
3,715903,5,N,7,37,69154.0,1.56,118.193,33.886992,-118.034125,,OR,1,ALONDRA,3269,,,
4,715904,5,S,7,37,69154.0,2.27,118.84,33.892489000000005,-118.044573,,OR,1,CARMENITA,3253,,,
5,715906,5,S,7,37,52526.0,3.28,119.85,33.900669,-118.059422,,OR,1,ROSECRANS,3252,,,
6,715907,5,S,7,37,52526.0,3.62,120.19,33.903960999999995,-118.06404599999999,,OR,1,FIRESTONE,3251,,,
7,715908,5,S,7,37,52526.0,4.28,120.85,33.911074,-118.07168600000001,,OR,1,SAN ANTONIO/NORWALK,3090,,,
8,715910,5,N,7,37,52526.0,4.58,121.213,33.913564,-118.07586699999999,,OR,1,NORWALK SB,3273,,,
9,715913,5,S,7,37,52526.0,5.22,121.79,33.920763,-118.08250100000001,,FR,1,PIONEER,2581,,,
10,715918,5,N,7,37,52526.0,6.2,122.833,33.93311,-118.09100500000001,1.075,ML,3,ORR - DAY,2579,,,
11,715920,5,S,7,37,52526.0,6.64,123.21,33.938544,-118.09494099999999,1.29,ML,4,S OF 605,2296,,,
12,715923,5,S,7,37,19766.0,8.21,124.78,33.956897,-118.110532,,OR,1,LAKEWOOD NB,3045,,,
13,715924,5,N,7,37,19766.0,8.27,124.90299999999999,33.957583,-118.111199,,OR,1,LAKEWOOD NB,3586,,,
14,715925,5,S,7,37,19766.0,8.35,124.92,33.958225,-118.11238999999999,,OR,1,LAKEWOOD SB,3044,,,
15,715926,5,N,7,37,19766.0,8.41,125.04299999999999,33.958909999999996,-118.11303600000001,,OR,1,LAKEWOOD SB,3587,,,
16,715927,5,N,7,37,19766.0,8.86,125.493,33.9632,-118.1189,,OR,1,PARAMOUNT,3588,,,
17,715928,5,S,7,37,19766.0,8.93,125.5,33.963867,-118.11986999999999,,OR,1,PARAMOUNT NB,3043,,,
18,715929,5,S,7,37,19766.0,9.5,126.07,33.971707,-118.12309499999999,0.47,ML,4,GUATEMALA,2023,,,
19,715930,5,N,7,37,19766.0,9.5,126.133,33.971763,-118.122905,0.505,ML,4,GUATEMALA,2023,,,
20,715932,5,S,7,37,14974.0,9.87,126.44,33.976459999999996,-118.12595300000001,,OR,1,SLAUSON,3332,,,
21,715933,5,N,7,37,14974.0,10.33,126.963,33.981839,-118.130679,0.425,ML,4,GREENWOOD,2610,,,
22,715935,5,S,7,37,14974.0,10.76,127.33,33.986224,-118.13601399999999,,OR,1,GARFIELD,3331,,,
23,715937,5,S,7,37,14974.0,11.54,128.11,33.994935,-118.14469,,OR,1,WASHINGTON 1,3330,,,
24,715938,5,N,7,37,14974.0,12.18,128.813,34.002541,-118.150997,0.545,ML,4,GASPAR,2021,,,
25,715941,5,S,7,37,14974.0,12.68,129.25,34.007591999999995,-118.15726599999999,,OR,1,ATLANTIC,3647,,,
26,715944,5,N,7,37,14974.0,13.35,129.983,34.013676000000004,-118.166091,0.32299999999999995,ML,4,FERRIS,2537,,,
27,715947,5,S,7,37,14974.0,13.67,130.24,34.015325,-118.17126999999999,0.495,ML,3,S OF 710,2536,,,
28,715949,5,N,7,37,,14.35,130.983,34.020076,-118.181702,,OR,1,DOWNEY,3153,,,
29,715950,5,S,7,37,,14.763,131.333,34.020088,-118.189029,,OR,1,DITMAN,3151,,,
30,715952,5,S,7,37,44000.0,15.14,131.71,34.020961,-118.19545600000001,,OR,1,CALZONA,3150,,,
31,715953,5,N,7,37,44000.0,15.14,131.773,34.021135,-118.195375,,OR,1,CALZONA,3154,,,
32,715957,5,S,7,37,44000.0,16.49,133.06,34.029033,-118.217141,,OR,1,EIGHTH,3148,,,
33,715958,5,S,7,37,44000.0,17.44,134.01,34.041407,-118.218373,,OR,1,FOURTH,3629,,,
34,715959,5,S,7,37,44000.0,17.93,134.5,34.047784,-118.214638,,OR,1,CEASAR CHAVEZ,3628,,,
35,715961,5,S,7,37,44000.0,18.59,135.16,34.057314,-118.214378,,OR,1,MISSION,3625,,,
36,715963,5,S,7,37,44000.0,19.45,136.02,34.069368,-118.217386,,OR,1,BROADWAY,3624,,,
37,715964,5,S,7,37,44000.0,20.33,136.9,34.080943,-118.22237,,OR,1,AVE 26,3146,,,
38,715966,5,S,7,37,44000.0,20.7,137.27,34.083197999999996,-118.22821299999998,,OR,1,DUVALL,3094,,,
39,715967,5,N,7,37,44000.0,21.1,137.733,34.086881,-118.23361100000001,,OR,1,RIVERSIDE,3036,,,
40,715968,5,S,7,37,44000.0,21.93,138.5,34.095413,-118.24395700000001,,OR,1,STADIUM,3095,,,
41,715969,5,N,7,37,44000.0,21.8,138.433,34.094038,-118.242314,,OR,1,STADIUM WAY,3037,,,
42,715970,5,N,7,37,44000.0,23.2,139.833,34.108429,-118.258982,,OR,1,FLETCHER,3038,,,
43,715971,5,S,7,37,44000.0,23.58,140.15,34.111314,-118.264526,,OR,1,GLENDALE,3096,,,
44,715972,210,E,7,37,3386.0,R40.7,40.989,34.120764,-117.88843,,OR,1,CITRUS NB,4269,,,
45,715973,5,S,7,37,44000.0,24.168,140.738,34.118291,-118.27016599999999,,OR,1,LOS FELIZ,3097,,,
46,715974,5,S,7,37,30000.0,27.66,144.23,34.162760999999996,-118.294541,,OR,1,WESTERN EB,3101,,,
47,715975,5,S,7,37,30000.0,27.7,144.27,34.163197,-118.29496999999999,,OR,1,WESTERN WB,3102,,,
48,715976,5,N,7,37,30000.0,27.77,144.403,34.164088,-118.29556799999999,,OR,1,WESTERN EB,3220,,,
49,715977,5,N,7,37,30000.0,27.92,144.553,34.165484,-118.29753000000001,,OR,1,WESTERN WB,3219,,,
50,715978,5,S,7,37,30000.0,28.2,144.77,34.167992,-118.30129299999999,,OR,1,ALAMEDA EB,3103,,,
51,715979,5,S,7,37,8954.0,28.3,144.87,34.168963,-118.302648,,OR,1,ALAMEDA WB,3104,,,
52,715980,5,N,7,37,8954.0,28.4,145.033,34.17007,-118.30383700000002,,OR,1,ALAMEDA EB,3222,,,
53,715981,5,N,7,37,8954.0,28.45,145.083,34.170572,-118.30448,,OR,1,ALAMEDA WB,3221,,,
54,715982,5,N,7,37,8954.0,29.27,145.903,34.179879,-118.31240700000001,,OR,1,OLIVE,3223,,,
55,715983,5,S,7,37,8954.0,29.68,146.25,34.184490999999994,-118.31673300000001,,OR,1,BURBANK EB,3243,,,
56,715984,5,S,7,37,8954.0,29.89,146.46,34.186308000000004,-118.319601,,OR,1,BURBANK WB,3242,,,
57,715985,5,N,7,37,8954.0,29.97,146.60299999999998,34.187037,-118.320656,,OR,1,BURBANK 2,3224,,,
58,715986,5,S,7,37,8954.0,30.69,147.26,34.19381,-118.33029199999999,,OR,1,LINCOLN,3241,,,
59,715987,5,N,7,37,8954.0,30.69,147.32299999999998,34.193931,-118.33008600000001,,OR,1,LINCOLN,3225,,,
60,715988,5,N,7,37,8954.0,31.41,148.043,34.200877,-118.33918500000001,,OR,1,BUENA VISTA,3226,,,
61,715989,5,S,7,37,8954.0,31.42,147.99,34.200916,-118.339473,,OR,1,BUENA VISTA,3240,,,
62,715990,5,S,7,37,44000.0,32.28,148.85,34.211259000000005,-118.347597,,OR,1,HOLLYWOOD WAY,3239,,,
63,715991,5,N,7,37,44000.0,32.41,149.043,34.212728000000006,-118.34904099999999,,OR,1,HOLLYWOOD WAY,3227,,,
64,715992,5,S,7,37,44000.0,33.23,149.8,34.221104,-118.358957,,OR,1,ROSCOE,3238,,,
65,715993,5,S,7,37,44000.0,33.58,150.15,34.221821999999996,-118.364915,,OR,1,SUNLAND,3237,,,
66,715994,5,N,7,37,44000.0,33.72,150.35299999999998,34.222169,-118.3673,,OR,1,SUNLAND,3228,,,
67,715995,5,S,7,37,44000.0,34.24,150.81,34.225778000000005,-118.375075,,OR,1,PENROSE,3236,,,
68,715996,5,S,7,37,44000.0,37.3,153.87,34.243318,-118.42108,0.275,ML,6,OSBORNE 1,3486,,,
69,715997,5,S,7,37,44000.0,34.88,151.45,34.226376,-118.38592299999999,,OR,1,TUXFORD,3235,,,
70,715998,5,N,7,37,44000.0,35.07,151.703,34.227092999999996,-118.38900600000001,,OR,1,LANKERSHIM,3230,,,
71,715999,5,S,7,37,44000.0,35.07,151.64,34.226944,-118.38904199999999,,OR,1,LANKERSHIM,3234,,,
72,716000,5,S,7,37,44000.0,35.84,152.41,34.231047,-118.401401,,OR,1,SHELDON,3233,,,
73,716001,5,N,7,37,44000.0,35.84,152.47299999999998,34.231273,-118.40133999999999,,OR,1,SHELDON,3231,,,
74,716002,5,S,7,37,44000.0,36.75,153.32,34.23742,-118.414827,,OR,1,BRANFORD 1,3232,,,
75,716003,5,N,7,37,44000.0,37.37,154.003,34.244193,-118.42168999999998,,OR,1,OSBORNE 1,3484,,,
76,716004,5,S,7,37,44000.0,37.47,154.04,34.245149,-118.422992,,OR,1,OSBORNE WB,3487,,,
77,716005,5,N,7,37,44000.0,37.55,154.183,34.246140000000004,-118.42373500000001,,OR,1,OSBORNE 2,3485,,,
78,716006,5,S,7,37,44000.0,37.84,154.41,34.249183,-118.42725700000001,,OR,1,TERRA BELLA,3488,,,
79,716007,5,N,7,37,,R46.77,163.18,34.341625,-118.526002,1.75,ML,5,WELDON CANYON,2088,,,
80,716008,5,S,7,37,,R48.8,165.14700000000002,34.358847,-118.554053,,OR,1,CALGROVE,4622,,,
81,716009,5,N,7,37,69088.0,R49.2,165.61,34.364506,-118.555784,,OR,1,CALGROVE,4611,,,
82,716010,5,S,7,37,69088.0,R49.5,165.847,34.368149,-118.55885,0.6,ML,4,S OF WABUSKA,2089,,,
83,716011,5,S,7,37,69088.0,R50.3,166.64700000000002,34.378358,-118.565494,,OR,1,LYONS 2,4612,,,
84,716012,5,N,7,37,69088.0,R52.46,168.87,34.408287,-118.576071,,OR,1,VALENCIA,4614,,,
85,716013,5,S,7,37,69088.0,R52.49,168.83700000000002,34.408604,-118.576573,,OR,1,VALENCIA WB,4625,,,
86,716014,5,S,7,37,69088.0,R53.4,169.747,34.420911,-118.582284,,OR,1,MAGIC MOUNTAIN,4626,,,
87,716015,5,N,7,37,69088.0,R53.64,170.05,34.424267,-118.58367,,OR,1,MAGIC MOUNTAIN,4615,,,
